ref	value	footprint
C1	22pF	0603(1608m)
C2	22pF	0603(1608m)
C3	0.33uF	0603(1608m)
C4	0.1uF	0603(1608m)
C5	0.1uF	0603(1608m)
C6	0.1uF	0603(1608m)
C7	0.1uF	0603(1608m)
C8	0.1uF	0603(1608m)
C9	0.47uF	0603(1608m)
C10	0.47uF	0603(1608m)
C11	0.47uF	0603(1608m)
C12	10uF	1206(3216m)
F1	500mA	1206(3216m)
IC1	5V_REG	TO220_3pin
IC2	ATMEGA328P_TQFP	TQFP32_7mm
IC3	TLC5940_SOP	HTSSOP28
IC4	MAX3232	TSSOP16
J1	SERIAL-POWER_out	8P8C_thru
J2	SERIAL-POWER_in	8P8C_thru
LED1	PWR-GRN	0603(1608m)
LED2	CREE-CLV6A-FKB	PLCC6
LED3	CREE-CLV6A-FKB	PLCC6
LED4	CREE-CLV6A-FKB	PLCC6
LED5	CREE-CLV6A-FKB	PLCC6
LED6	CREE-CLV6A-FKB	PLCC6
P1	AVR_ISP	2x3-array
P2	DEBUG	SIP12
R1	10k	0603(1608m)
R2	330	0603(1608m)
R3	10k_arr	SIP9
R4	10k	0603(1608m)
R5	1.8k	0603(1608m)
S1	RESET	SPST_4-pin-thru
S2	ADDRESS	DIP16
Y1	16MHz	HC49
